,Customer Number,Campaign Period Sales,Historical Sales Volume,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language,Service Level,Date of Last Transaction,Number of Transactions,Email Available,Buy,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group
7633,16946218,0.0,598788.5973333332,1995-02-15,17.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2012-02-25,17,True,0,9849,3630,Mid_Term,English
7634,16946720,0.0,526874.8800000001,2008-03-06,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2011-05-17,21,True,0,5081,3914,Short_Term,English
7635,16950522,0.0,92552.85714285716,1989-08-01,3.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-10-27,3,True,0,11873,3385,Mid_Term,English
7636,16951134,0.0,1644775.6000000003,1990-03-15,20.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2006-06-21,20,True,0,11647,5705,Mid_Term,English
7637,16953989,244.3009523809524,290229.53142857144,1993-07-15,22.0,False,False,False,AUTO RENEW,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-01-05,22,True,1,10429,2585,Mid_Term,English
7638,16956635,0.0,434385.60000000003,1994-10-01,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-07-20,20,False,0,9986,3484,Mid_Term,English
7639,16956880,0.0,102550.44800000002,1993-04-15,22.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2016-01-20,22,True,0,10520,2205,Mid_Term,English
7640,16958217,0.0,278459.73333333334,1989-11-01,14.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2015-08-26,14,True,0,11781,2352,Mid_Term,English
7641,16958398,0.0,170010.48,1988-08-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-01-24,19,True,0,12238,2566,Mid_Term,English
7642,16961122,0.0,350969.14285714284,1995-11-15,22.0,False,False,False,NOTICE,WEB,N,Y,N,N,N,N,N,N,Y,6-10,English,Premier,2013-06-25,22,True,0,9576,3144,Mid_Term,English
7643,16964890,773.248,1322254.08,1995-02-01,19.0,False,False,False,NOTICE,BRANCH (POS),N,Y,N,N,N,N,Y,N,Y,101-500,English,Premier,2013-07-16,19,True,1,9863,3123,Mid_Term,English
7644,16966172,218.49523809523808,243185.19999999998,1977-05-01,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-05-31,21,False,1,16348,2804,Long-Term,English
7645,16967066,0.0,258751.2,1995-01-01,7.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-02-28,7,True,0,9894,3261,Mid_Term,English
7646,16968014,139.93333333333337,37782.00000000001,2017-08-25,15.0,True,True,True,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-10-11,15,False,1,1622,2671,Short_Term,English
7647,16972933,0.0,91956.48000000001,1986-11-15,18.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2013-08-02,18,True,0,12863,3106,Mid_Term,English
7648,16974743,310.8666666666667,561114.3333333334,1992-05-15,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2015-03-20,19,False,1,10855,2511,Mid_Term,English
7649,16976644,122.26933333333335,168731.68000000002,1979-03-15,15.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2016-01-24,15,True,1,15665,2201,Long-Term,English
7650,16980854,0.0,352992.63999999996,2009-03-23,13.0,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,101-500,English,Standard,2014-03-03,13,True,0,4699,2893,Short_Term,English
7651,16982124,0.0,301993.43999999994,1998-02-15,18.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-09-30,18,False,0,8753,2682,Mid_Term,English
7652,16982683,230.38666666666668,457087.1466666667,1994-02-01,16.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2012-03-29,16,False,1,10228,3597,Mid_Term,English
7655,16988396,124.02000000000001,220755.6,2016-10-16,20.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2016-01-10,20,False,1,1935,2215,Short_Term,English
7656,16989236,0.0,338833.3333333334,1995-04-01,19.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2013-09-13,19,True,0,9804,3064,Mid_Term,English
7657,16992924,0.0,252370.6666666667,1984-08-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,English,Premier,2014-12-23,19,True,0,13699,2598,Mid_Term,English
7658,16996915,0.0,103679.92380952381,1991-03-01,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2013-04-05,22,True,0,11296,3225,Mid_Term,English
7659,16997296,0.0,533892.48,1988-05-01,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,Unknowm,Standard,2012-01-12,22,True,0,12330,3674,Mid_Term,European
7660,16998023,0.0,426973.06666666665,1990-03-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,11-50,English,Premier,2012-12-21,19,True,0,11661,3330,Mid_Term,English
7661,17002111,0.0,390671.424,1991-12-15,20.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,1-5,Vietnamese,Premier,2014-05-14,20,True,0,11007,2821,Mid_Term,Asian
7662,17002501,0.0,76280.4761904762,1995-09-18,25.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2015-07-20,25,True,0,9634,2389,Mid_Term,English
7663,17004806,296.7219047619048,331141.6457142857,1972-07-15,18.0,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-03-22,18,False,1,18099,2874,Long-Term,English
7664,17007498,0.0,418746.6666666666,1988-05-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,Unknowm,Premier,2011-07-18,20,False,0,12316,3852,Mid_Term,European
7665,17008465,0.0,838705.92,1983-02-01,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-07-15,18,True,0,14246,3489,Mid_Term,English
7667,17012094,0.0,176960.85333333336,1997-07-15,16.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-09-26,16,True,0,8968,3416,Mid_Term,English
7668,17017361,135.22666666666666,50574.77333333332,1974-10-01,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-11-28,17,True,1,17291,2623,Long-Term,English
7670,17019377,503.68000000000006,90662.40000000001,2007-02-13,4.0,False,True,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2011-08-22,4,True,1,5468,3817,Short_Term,English
7671,17022944,0.0,599938.7428571429,1996-02-01,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-09-23,17,False,0,9498,3419,Mid_Term,English
7672,17023416,0.0,182422.24000000005,2000-08-29,24.0,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,Y,Y,1-5,English,Premier,2013-03-01,24,True,0,7827,3260,Mid_Term,English
7673,17025011,0.0,570762.0800000001,1984-08-01,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2013-08-22,17,True,0,13699,3086,Mid_Term,English
7674,17028791,0.0,255945.19999999998,1990-01-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Standard,2013-07-08,19,True,0,11720,3131,Mid_Term,English
7675,17029412,0.0,807819.8857142857,1996-04-15,22.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-08-03,22,False,0,9424,3105,Mid_Term,English
7676,17029415,0.0,1227401.3333333333,1997-11-01,25.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2013-01-22,25,True,0,8859,3298,Mid_Term,English
7677,17034720,0.0,685857.588,1992-08-01,17.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,51-100,English,Premier,2015-12-28,17,False,0,10777,2228,Mid_Term,English
7679,17035901,0.0,96728.00000000003,1997-07-01,15.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-03-07,15,True,0,8982,2889,Mid_Term,English
7680,17038452,0.0,312901.3333333333,1984-09-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2015-04-29,20,False,0,13654,2471,Mid_Term,English
7683,17043922,0.0,170746.6666666667,1995-10-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-07-20,20,True,0,9607,2389,Mid_Term,English
7684,17044926,0.0,3161301.173333334,1990-04-01,28.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2012-10-05,28,True,0,11630,3407,Mid_Term,English
7685,17045201,0.0,261915.45714285717,1990-09-15,23.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,Y,Y,6-10,English,Standard,2016-03-17,23,True,0,11463,2148,Mid_Term,English
7686,17048752,0.0,238013.25333333333,2004-03-03,19.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,Y,N,Y,1-5,English,Premier,2015-02-12,19,True,0,6545,2547,Short_Term,English
7687,17050207,0.0,67914.5142857143,2005-07-25,12.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-06-08,12,True,0,6036,2431,Short_Term,English
7688,17051304,0.0,1727425.024,1986-03-15,16.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,101-500,English,Standard,2015-02-20,16,True,0,13108,2539,Mid_Term,English
7689,17056643,0.0,1175602.5542857144,1994-11-01,17.0,False,True,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-08-10,17,True,0,9955,4194,Mid_Term,English
7691,17059392,0.0,165325.86666666667,1995-01-01,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-10-09,20,True,0,9894,2673,Mid_Term,English
7692,17060559,313.16190476190474,77350.99047619048,1979-08-15,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-07-21,19,False,1,15512,3483,Long-Term,English
7693,17060966,218.01333333333332,775255.4133333333,1974-01-01,28.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2012-08-03,28,False,1,17564,3470,Long-Term,English
7694,17063374,0.0,54322.26666666667,2004-06-21,2.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2011-04-10,2,True,0,6435,3951,Short_Term,English
7696,17066792,0.0,639662.8571428572,1988-04-01,23.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2015-01-23,23,True,0,12360,2567,Mid_Term,English
7697,17071424,464.5866666666667,837185.1733333335,1993-07-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-03-09,17,True,1,10429,3617,Mid_Term,English
7698,17072025,0.0,499650.2857142858,1997-03-01,20.0,True,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-06-26,20,True,0,9104,3143,Mid_Term,English
7699,17077384,0.0,872071.2000000001,1996-07-01,18.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2011-09-26,18,True,0,9347,3782,Mid_Term,English
7700,17078472,0.0,252898.80000000002,1989-02-01,21.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2015-10-06,21,True,0,12054,2311,Mid_Term,English
7701,17081125,0.0,136156.05714285714,1972-02-15,13.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,Y,N,N,N,Y,6-10,English,Standard,2016-05-29,13,True,0,18250,2075,Long-Term,English
7703,17084365,0.0,284001.11999999994,2005-10-18,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2016-10-22,18,True,0,5951,1929,Short_Term,English
7704,17090124,0.0,141896.90666666668,1996-11-01,13.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,Unknowm,Premier,2011-12-23,13,True,0,9224,3694,Mid_Term,European
7705,17093659,335.5809523809524,682571.6571428572,1994-02-01,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-02-12,18,False,1,10228,3643,Mid_Term,English
7706,17094214,290.79761904761904,118645.42857142858,1975-08-15,17.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,Y,N,6-10,Unknowm,Premier,2015-03-10,17,True,1,16973,2521,Long-Term,European
7707,17096091,0.0,298350.0,1996-12-01,15.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-07-21,15,True,0,9194,3849,Mid_Term,English
7708,17097559,0.0,50548.68000000001,1981-09-01,2.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,1-5,Unknowm,Premier,2014-08-30,2,True,0,14764,2713,Long-Term,European
7709,17100164,0.0,916959.9238095238,1996-01-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-03-01,17,True,0,9515,4356,Mid_Term,English
7711,17102328,629.0133333333333,106303.25333333333,1994-10-15,13.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2009-11-19,13,True,1,9972,4458,Mid_Term,English
7713,17106051,187.12,165039.84,1993-09-15,18.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2013-06-15,18,True,1,10367,3154,Mid_Term,English
7715,17109813,0.0,418131.168,2008-12-18,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-08-03,21,False,0,4794,2375,Short_Term,English
7716,17110597,0.0,274069.14285714284,1983-12-25,17.0,False,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-02-22,17,True,0,13919,2537,Mid_Term,English
7717,17110682,0.0,392910.3333333333,1996-05-01,5.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,1-5,English,Standard,2005-07-20,5,True,0,9408,6041,Mid_Term,English
7718,17111176,530.6228571428571,126288.23999999999,1994-08-01,2.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-09-09,2,True,1,10047,4164,Mid_Term,English
7719,17111409,0.0,143367.12,1990-07-01,17.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2016-06-20,17,True,0,11539,2053,Mid_Term,English
7720,17116504,0.0,109672.57142857143,1998-04-01,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2016-04-07,15,False,0,8708,2127,Mid_Term,English
7721,17116748,0.0,290475.9,2015-07-09,22.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,Y,N,N,6-10,Unknowm,Premier,2012-10-17,22,True,0,2400,3395,Short_Term,European
7722,17117020,0.0,184708.33333333334,1997-04-01,10.0,False,True,False,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,51-100,English,Premier,2012-01-08,10,True,0,9073,3678,Mid_Term,English
7723,17119962,147.11542857142857,51637.51542857143,1963-07-01,13.0,False,False,False,AUTO RENEW,PHONE,N,Y,N,N,N,N,N,N,Y,6-10,English,Premier,2016-11-06,13,True,1,21401,1914,Long-Term,English
7724,17123888,0.0,170012.00000000003,1996-02-01,20.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-07-09,20,True,0,9498,2765,Mid_Term,English
7725,17124490,0.0,621967.9390476192,1993-05-01,16.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-02-09,16,True,0,10504,3646,Mid_Term,English
7727,17128795,275.1840000000001,148599.36000000004,1993-10-15,20.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,Y,N,N,N,Y,1-5,English,Standard,2012-10-06,20,True,1,10337,3406,Mid_Term,English
7728,17129231,0.0,113630.40000000001,2014-10-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-08-13,20,True,0,2667,2730,Short_Term,English
7730,17137591,0.0,146583.6,1989-02-01,4.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,Unknowm,Standard,2015-01-23,4,True,0,12054,2567,Mid_Term,European
7732,17138934,0.0,895716.9,1987-05-15,18.0,True,True,True,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2012-02-05,18,False,0,12682,3650,Mid_Term,English
7733,17143459,0.0,95502.0,1982-09-01,2.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,51-100,Unknowm,Premier,2015-06-15,2,True,0,14399,2424,Mid_Term,European
7734,17146103,405.39200000000005,214452.36800000005,1977-08-15,23.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-04-30,23,False,1,16242,2835,Long-Term,English
7736,17147957,0.0,328989.2571428572,1991-04-01,11.0,False,True,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-08-02,11,True,0,11265,3471,Mid_Term,English
7737,17147975,0.0,409888.2666666667,1995-10-01,14.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2006-12-23,14,True,0,9621,5520,Mid_Term,English
7738,17153163,0.0,166656.0,1996-02-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-04-02,15,False,0,9484,2863,Mid_Term,English
7739,17155078,0.0,342094.6285714286,1996-11-01,9.0,False,False,False,NOTICE,MAIL,Y,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-07-12,9,True,0,9224,3858,Mid_Term,English
7740,17159775,0.0,110101.82857142857,1989-09-15,6.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2016-03-07,6,True,0,11828,2158,Mid_Term,English
7741,17162147,0.0,138549.77333333335,1980-06-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,Unknowm,Standard,2014-11-04,19,False,0,15221,2647,Long-Term,European
7744,17164992,0.0,548041.1733333333,1989-03-01,26.0,True,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,Y,N,Y,11-50,English,Premier,2014-08-26,26,True,0,12026,2717,Mid_Term,English
7745,17167020,275.2666666666667,70193.00000000001,1979-12-25,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2010-12-25,15,True,1,15380,4057,Long-Term,English
7746,17167674,0.0,948736.8800000001,1996-06-01,19.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-01-12,19,True,0,9377,3308,Mid_Term,English
7747,17171545,0.0,1134216.72,1985-02-15,15.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,Y,N,Y,101-500,English,Standard,2013-02-25,15,True,0,13501,3264,Mid_Term,English
7748,17173518,0.0,290902.85714285716,1996-09-01,15.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-05-17,15,True,0,9285,2818,Mid_Term,English
7749,17178163,0.0,1447638.6666666667,1992-04-01,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,Unknowm,Standard,2013-02-20,20,False,0,10899,3269,Mid_Term,European
7750,17185904,0.0,193042.2857142857,1992-10-01,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-12-26,17,False,0,10716,2595,Mid_Term,English
7752,17187409,0.0,333742.8571428571,1991-07-15,15.0,True,True,True,NOTICE,WEB,Y,N,N,N,N,N,N,N,N,6-10,English,Premier,2014-05-02,15,True,0,11160,2833,Mid_Term,English
7753,17187621,0.0,765336.0,1997-04-15,20.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,N,1-5,Unknowm,Premier,2012-09-12,20,True,0,9059,3430,Mid_Term,European
7754,17194110,0.0,402543.3714285715,1990-06-01,23.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-05-09,23,True,0,11569,2826,Mid_Term,English
7755,17198697,0.0,278666.6666666667,2003-12-03,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-06-20,19,True,0,6636,3149,Short_Term,English
7757,17199850,0.0,209923.2,1995-07-15,20.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-12-23,20,False,0,9699,2233,Mid_Term,English
7758,17200232,0.0,723128.3200000001,1996-11-01,8.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2005-07-03,8,True,0,9224,6058,Mid_Term,English
7759,17204039,0.0,506558.08,1997-05-15,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,11-50,English,Premier,2012-11-14,21,True,0,9029,3367,Mid_Term,English
7761,17211842,751.0666666666667,1297843.2000000002,1993-07-01,18.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,Russian,Premier,2014-06-28,18,True,1,10443,2776,Mid_Term,European
7762,17214432,0.0,372800.00000000006,1996-09-15,10.0,False,False,False,NOTICE,WEB,Y,N,N,N,N,N,N,N,N,11-50,Unknowm,Standard,2014-05-06,10,True,0,9271,2829,Mid_Term,European
7763,17219309,0.0,187568.0,1988-01-01,20.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-10-13,20,True,0,12451,3765,Mid_Term,English
7764,17219316,0.0,514706.4000000001,1995-03-01,18.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-01-22,18,True,0,9835,3664,Mid_Term,English
7765,17220777,0.0,2302150.5000000005,1991-09-15,23.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2012-12-11,23,True,0,11098,3340,Mid_Term,English
7766,17224394,124.628,139707.98799999998,1993-02-01,19.0,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2013-09-16,19,True,1,10593,3061,Mid_Term,English
7767,17226916,0.0,478053.3333333334,1983-12-15,25.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,Spanish,Standard,2014-11-14,25,False,0,13929,2637,Mid_Term,European
7768,17231672,0.0,295347.0742857143,1986-12-15,19.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-08-07,19,True,0,12833,3101,Mid_Term,English
7769,17233713,0.0,465349.5000000001,1996-08-15,15.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2011-11-18,15,True,0,9302,3729,Mid_Term,English
7770,17235559,0.0,656292.0000000001,1998-07-20,25.0,False,False,False,AUTO RENEW,WEB,Y,N,N,N,N,N,Y,N,Y,6-10,Unknowm,Premier,2013-12-25,25,True,0,8598,2961,Mid_Term,European
7771,17240384,0.0,869470.2293333334,1995-01-15,16.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2010-11-01,16,True,0,9880,4111,Mid_Term,English
7772,17243660,0.0,151304.2514285714,2009-04-15,13.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-04-28,13,True,0,4676,2472,Short_Term,English
7773,17248148,0.0,288707.2,1983-01-15,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-06-13,21,True,0,14263,2426,Mid_Term,English
7774,17249494,0.0,417152.4000000001,1997-02-01,7.0,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,51-100,English,Standard,2013-06-12,7,True,0,9132,3157,Mid_Term,English
7775,17249810,763.0628571428571,1053026.7428571428,1981-06-01,23.0,False,False,False,AUTO RENEW,WEB,N,Y,N,N,N,N,N,N,Y,6-10,English,Premier,2009-02-06,23,True,1,14856,4744,Long-Term,English
7776,17256099,0.0,51418.98666666667,1992-08-01,7.0,False,False,False,AUTO RENEW,AUTO RENEW,Y,N,N,N,N,N,N,N,Y,6-10,Unknowm,Premier,2013-08-29,7,True,0,10777,3079,Mid_Term,European
7778,17258808,0.0,900945.6,1996-02-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,500+,English,Standard,2016-04-06,17,False,0,9484,2128,Mid_Term,English
7779,17258813,0.0,478643.84,1992-12-01,17.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-04-13,17,True,0,10655,3582,Mid_Term,English
7781,17264293,0.0,244087.36000000002,1991-08-01,17.0,False,False,False,NOTICE,MAIL,Y,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-08-07,17,True,0,11143,3466,Mid_Term,English
7783,17267251,287.8,208942.80000000002,2008-01-09,11.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2015-06-22,11,True,1,5138,2417,Short_Term,English
7784,17267924,304.4166666666667,306852.0,1976-01-01,18.0,False,False,False,AUTO RENEW,AUTO RENEW,Y,N,N,N,N,N,N,N,Y,51-100,English,Premier,2016-01-28,18,True,1,16834,2197,Long-Term,English
7785,17270603,0.0,238379.88571428577,1990-10-01,15.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-06-26,15,True,0,11447,3143,Mid_Term,English
7786,17273023,0.0,114080.0,1989-10-01,16.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,51-100,English,Premier,2015-03-23,16,True,0,11812,2508,Mid_Term,English
